game_id,player_name,player_game_number,variant_name,number_of_suits,number_of_players,score,max_score,player_rating,change_in_player_rating,avg_team_rating
994296,newdukeL,18,White (6 Suits),6,4,0,0,1307.3295894400487,-31.36207590322056,1340.8068753274756
994323,newdukeL,19,Omni (6 Suits),6,4,30,1,1326.0767965946593,18.74720715461057,1309.444799424255
994345,newdukeL,20,White (6 Suits),6,4,30,1,1335.7460445505249,9.669247955865558,1328.1920065788656
994355,newdukeL,21,Light Pink (5 Suits),5,4,24,0,1313.5016723810722,-22.244372169452618,1337.8612545347312
994358,newdukeL,22,Light Pink (5 Suits),5,4,0,0,1293.0371578754314,-20.464514505640864,1315.6168823652786
994363,newdukeL,23,White (5 Suits),5,3,25,1,1304.481846077222,11.44468820179054,1281.226745090913
994372,newdukeL,24,Brown (6 Suits),6,3,30,1,1314.858649005348,10.376802928126152,1367.5504875302652
994378,newdukeL,25,Light Pink (5 Suits),5,4,25,1,1332.1495131106958,17.290864105347737,1367.0292267022387
994392,newdukeL,26,Prism (5 Suits),5,5,24,0,1303.9739362699593,-28.17557684073654,1352.251802116832
994408,newdukeL,27,Clue Starved (5 Suits),5,3,25,1,1336.782079546125,32.808143276165765,1338.4709661496274
994437,newdukeL,28,Clue Starved (6 Suits),6,3,29,0,1327.911865311706,-8.870214234419109,1368.5450974861126
994446,newdukeL,29,Clue Starved (6 Suits),6,3,0,0,1319.521751901214,-8.39011341049195,1360.4140677712285
994449,newdukeL,30,Clue Starved (6 Suits),6,3,0,0,1311.567748813851,-7.954003087362935,1352.7231304782777
994457,newdukeL,31,Clue Starved (6 Suits),6,3,29,0,1304.0110784383296,-7.556670375521435,1345.4319609815282
993950,nox,1,Rainbow (6 Suits),6,5,30,1,1218.717738214179,18.717738214179008,1218.397109579762
993975,nox,2,Pink (6 Suits),6,5,30,1,1243.6215269428014,24.90378872862243,1239.3087424330652
994234,posij119,1,Omni (5 Suits),5,3,25,1,1220.7194437386947,20.719443738694736,1284.2593459912132
994239,posij119,2,Pink (5 Suits),5,3,0,0,1194.7034777365338,-26.01596600216089,1304.978789729908
994246,posij119,3,Pink (5 Suits),5,3,25,1,1210.6346483863142,15.93117064978037,1278.962823727747
993816,str8forward,1,No Variant,5,4,25,1,1210.2179204754,10.217920475399978,1200.0
993826,str8forward,2,6 Suits,6,4,30,1,1219.727063849018,9.509143373618144,1207.6634403565502
993835,str8forward,3,Prism (5 Suits),5,4,25,1,1233.7575875091684,14.030523660150266,1217.172583730168
993867,str8forward,4,No Variant,5,3,25,1,1242.9552782800206,9.197690770852205,1227.0668050151537
993897,str8forward,5,Rainbow (6 Suits),6,3,30,1,1255.73213266945,12.776854389429444,1236.264495786006
993911,str8forward,6,Pink (5 Suits),5,4,0,0,1234.3731240441834,-21.3590086252666,1231.5272260646589
994191,str8forward,7,Prism (5 Suits),5,3,25,1,1244.674280708765,10.30115666458164,1280.4030493084408
994194,str8forward,8,Brown (6 Suits),6,4,30,1,1258.3698587487434,13.695578039978272,1308.1335199822183
994227,str8forward,9,Rainbow (6 Suits),6,4,30,1,1268.5154283362997,10.14556958755611,1287.2459294913274
994234,str8forward,10,Omni (5 Suits),5,3,25,1,1289.2348720749942,20.719443738694736,1284.2593459912132
994239,str8forward,11,Pink (5 Suits),5,3,0,0,1263.2189060728333,-26.01596600216089,1304.978789729908
994246,str8forward,12,Pink (5 Suits),5,3,25,1,1279.1500767226137,15.93117064978037,1278.962823727747
994253,str8forward,13,No Variant,5,5,25,1,1287.846988429352,8.69691170673832,1346.976694521879
994277,str8forward,14,6 Suits,6,5,30,1,1296.0853844524577,8.238396023105679,1355.6736062286172
994291,str8forward,15,Pink (6 Suits),6,4,30,1,1307.0991811194012,11.013796666943565,1370.2170864788363
994069,vermling,1,6 Suits,6,3,30,1,1209.5776469751258,9.577646975125845,1200.0
994217,vermling,2,6 Suits,6,3,28,0,1178.6048102372104,-30.97283673791549,1209.5776469751258
994225,vermling,3,6 Suits,6,3,30,1,1189.5046183532834,10.899808116073018,1178.6048102372104
994229,vermling,4,6 Suits,6,3,0,0,1159.7150113949162,-29.78960695836713,1189.5046183532834
